Kapiti_F,Kapiti_D,Kapiti_S,Maunga_F,Maunga_D,Maunga_S,Rotok_F,Rotok_D,Rotok_S,Tiri_F,Tiri_D,Tiri_S,Karori_F,Karori_D,Karori_S,Bushy_F,Bushy_D,Bushy_S,Bushy_a,Bushy_b,Bushy_T,Karori_a,Karori_b,Karori_T,Maunga_a,Maunga_b,Maunga_T,Rotok_a,Rotok_b,Rotok_T,Tiri_a,Tiri_b,Tiri_T
57,1.726,0.8961,62,0.2991,0.315247242,20,1.963,1.592,92,1.332,1.267,20,0.6736,0.8506,15,0.3294,0.6299,0.433,-1.504,0.5,-0.3129,-0.9811,0.27,0.02543,-1.21,0.58,-0.5736,0.1587,0.1956,0.5303,-9.268,0.07
49,1.704,1.296,41,0.2738,0.243874804,22,1.956,1.009,92,1.332,1.356,16,0.6736,0.9869,15,0.4008,0.5614,0.433,-1.504,0.5,-0.3473,-1.121,0.27,0.02543,-1.21,0.58,-0.5736,0.1587,0.1956,0.5303,-9.268,0.07
56,1.639,1.287,56,-0.03007,0.243874804,20,1.956,1.354,90,1.332,1.655,16,0.6736,1.075,14,0.3579,0.552,0.3878,-1.485,0.5,-0.3003,-1.115,0.27,0.02489,-1.244,0.58,-0.5601,0.06149,0.1942,0.5376,-8.87,0.07
51,1.639,1.183,63,-0.03007,0.193126254,21,2.14,1.406,92,1.332,1.653,13,0.6736,1.031,12,0.4273,0.6285,0.3485,-2.741,0.5,-0.3335,-0.816,0.27,0.1381,-1.16,0.58,-0.3346,-0.3312,0.2168,0.5376,-8.87,0.07
41,1.66,1.365,63,-0.2744,0.100024114,19,2.085,1.797,94,1.332,1.69,16,0.6418,0.9627,13,0.1506,0.7655,0.3902,-2.782,0.5,-0.3335,-0.816,0.27,0.1834,-1.306,0.58,-0.3346,-0.3312,0.2168,0.5376,-8.87,0.07
41,1.699,1.615,65,-0.2744,0.100024114,20,1.484,1.791,94,1.332,1.333,15,0.6418,0.7995,11,0.1467,0.7489,0.4082,-2.981,0.5,-0.3354,-0.7837,0.27,0.1906,-1.32,0.58,-0.3552,-0.4917,0.2163,0.5376,-8.87,0.07
43,1.699,1.502,62,-0.2744,0.829379589,24,1.484,1.229,90,1.332,1.331,15,0.6418,0.8868,19,0.1425,0.6914,0.4957,-3.053,0.5,-0.3354,-0.7837,0.27,0.2114,-1.294,0.58,-0.387,-0.6525,0.2147,0.5318,-9.141,0.07
32,1.692,1.236,55,-0.2744,0.678974793,25,1.486,1.251,89,1.327,1.519,15,0.6418,1.062,16,0.1152,0.6591,0.5382,-3.146,0.5,-0.3478,-0.8271,0.27,0.2085,-1.37,0.58,-0.4268,-0.4248,0.2193,0.5318,-9.141,0.07
38,1.796,1.535,66,0.004578,0.791219843,23,1.393,1.296,87,1.327,1.543,17,0.6418,0.6041,15,0.1152,0.5757,0.2739,-2.442,0.5,-0.3024,-0.7878,0.27,0.2661,-1.395,0.58,-0.4268,-0.4248,0.2193,0.5318,-9.141,0.07
32,1.749,1.358,60,0.004578,0.54790951,21,1.483,1.272,90,1.327,1.511,19,0.6418,0.5836,14,0.07645,0.6055,0.2408,-2.606,0.5,-0.279,-0.7378,0.27,0.2597,-1.318,0.58,-0.4453,-0.4366,0.222,0.5345,-8.777,0.07
33,1.737,1.223,60,0.004578,0.35259925,20,1.483,1.221,89,1.297,1.278,21,0.7678,0.6161,13,0.0941,0.54,0.2325,-2.666,0.5,-0.2375,-0.9293,0.27,0.2597,-1.318,0.58,-0.4019,-0.4895,0.2163,0.5345,-8.777,0.07
36,1.71,1.189,59,0.03019,0.35259925,19,1.263,1.445,88,1.297,1.72,18,0.7823,1.012,14,0.08184,0.5992,0.2142,-2.606,0.5,-0.2616,-0.9012,0.27,0.2367,-1.338,0.58,-0.5308,-0.7703,0.2467,0.539,-8.802,0.07
32,1.71,1.405,61,0.03019,0.35259925,23,1.29,1.549,90,1.297,1.477,20,0.7823,0.962,14,0.04838,0.66,0.2142,-2.606,0.5,-0.2854,-1.034,0.27,0.3816,-1.6,0.58,-0.5315,-0.5813,0.2398,0.5286,-8.96,0.07
34,1.71,0.9704,48,0.03019,0.266594188,23,1.307,1.168,91,1.297,1.281,21,0.7682,0.8229,14,0.04838,0.6525,0.2142,-2.606,0.5,-0.2854,-1.034,0.27,0.3682,-1.522,0.58,-0.5237,-0.5465,0.2416,0.5341,-8.801,0.07
37,1.62,1.196,50,0.03019,0.266594188,22,1.286,1.11,91,1.297,1.234,16,0.7392,0.7847,16,-0.08455,0.4638,0.2896,-2.494,0.5,-0.2854,-1.034,0.27,0.1607,-1.596,0.58,-0.5702,-0.5016,0.2397,0.559,-8.961,0.07
38,1.714,1.222,50,0.03019,0.49945579,19,1.541,1.732,89,1.311,1.351,17,0.7392,0.676,15,-0.08455,0.4556,0.2773,-2.499,0.5,-0.2934,-0.9677,0.27,0.262,-1.554,0.58,-0.5773,-0.7717,0.1899,0.5559,-8.6,0.07
34,1.735,1.283,70,0.03019,0.49945579,18,1.64,1.663,92,1.246,1.656,17,0.7392,0.5394,12,-0.08455,0.7497,0.2788,-2.522,0.5,-0.3137,-1.099,0.27,0.2354,-1.557,0.58,-0.5918,-0.7472,0.1905,0.5537,-9.093,0.07
26,1.691,1.355,67,0.03019,0.355197559,20,1.475,1.486,92,1.246,1.25,18,0.6578,0.7051,14,-0.006176,0.5798,0.144,-2.915,0.5,-0.315,-0.8617,0.27,0.2521,-1.709,0.58,-0.633,-0.8979,0.1888,0.5438,-9.226,0.07
36,1.671,1.148,63,0.1212,0.629855007,22,1.488,1.285,90,1.246,1.511,22,0.6244,0.5348,11,0.02753,0.6426,0.129,-2.743,0.5,-0.315,-0.8617,0.27,0.1304,-1.676,0.58,-0.6408,-1.004,0.1853,0.5403,-9.232,0.07
32,1.729,1.056,70,0.1212,0.486846865,19,1.512,1.563,89,1.246,1.279,17,0.7084,0.5407,13,0.008704,0.6216,0.129,-2.743,0.5,-0.315,-0.8617,0.27,0.192,-1.575,0.58,-0.6408,-1.004,0.1853,0.4992,-8.051,0.07
35,1.729,1.004,67,0.2788,0.704081899,18,1.507,1.256,89,1.258,1.28,18,0.6825,0.6092,14,0.008704,0.5744,0.129,-2.743,0.5,-0.315,-0.8617,0.27,0.192,-1.575,0.58,-0.5939,-1.345,0.191,0.4982,-7.688,0.07
32,1.729,1.454,70,-0.5643,0.526525805,18,1.766,1.309,89,1.258,1.342,20,0.7463,0.5845,12,0.03037,0.6241,0.176,-2.674,0.5,-0.3118,-1.014,0.27,0.192,-1.575,0.58,-0.5859,-1.218,0.1915,0.4982,-7.688,0.07
30,1.663,1.298,74,-0.5643,0.526525805,18,1.781,1.347,91,1.258,1.192,21,0.7463,0.5343,12,0.02082,0.5201,0.1512,-3.191,0.5,-0.4008,-2.287,0.27,0.08988,-1.504,0.58,-0.5797,-1.244,0.1925,0.4982,-7.688,0.07
38,1.581,1.076,55,-0.5643,0.526525805,19,1.374,1.117,89,1.302,1.166,21,0.7463,0.5887,14,0.02082,0.5335,0.2255,-2.921,0.5,-0.383,-2.221,0.27,0.07523,-1.374,0.58,-0.5819,-1.373,0.1987,0.4902,-7.858,0.07
33,1.581,1.372,64,-0.5643,0.247957069,20,1.348,1.304,91,1.302,1.272,23,0.7463,0.5744,12,-0.001356,0.5714,-0.4761,-1.493,0.5,-0.383,-2.221,0.27,0.092,-1.416,0.58,-0.5819,-1.373,0.1987,0.4992,-8.003,0.07
31,1.64,1.31,61,-0.5643,0.247957069,21,1.423,1.531,89,1.302,1.437,20,0.7355,0.5451,11,0.01853,0.5016,-0.4518,-1.348,0.5,-0.3656,-2.232,0.27,0.07393,-1.568,0.58,-0.5931,-1.317,0.1968,0.5079,-7.856,0.07
34,1.64,0.9752,58,-0.5643,0.246271983,21,1.467,1.268,92,1.302,1.523,19,0.7166,0.5484,12,-0.02177,0.5522,-0.396,-1.354,0.5,-0.3971,-2,0.27,0.1579,-1.57,0.58,-0.5931,-1.317,0.1968,0.5079,-7.856,0.07
32,1.783,0.8945,58,-0.5643,0.248609539,24,1.467,1.92,94,1.302,1.184,23,0.6999,0.7287,15,-0.02177,0.4197,-0.3479,-1.59,0.5,-0.3926,-1.954,0.27,0.1774,-1.507,0.58,-0.5625,-1.476,0.2006,0.5079,-7.856,0.07
32,1.783,0.9816,60,-0.5643,0.248609539,23,1.467,1.679,93,1.302,1.28,25,0.7362,0.681,14,-0.02177,0.6686,-0.3479,-1.59,0.5,-0.3853,-1.859,0.27,0.06227,-1.457,0.58,-0.539,-1.378,0.2,0.4977,-7.822,0.07
31,1.783,1.078,53,-0.4963,0.309420401,19,1.405,1.401,96,1.255,1.326,21,0.7495,0.4893,12,-0.06734,0.7255,-0.4102,-1.707,0.5,-0.3822,-2.007,0.27,0.1962,-1.427,0.58,-0.4413,-1.435,0.1872,0.4977,-7.822,0.07
28,1.789,1.06,53,-0.7975,0.309420401,20,1.422,1.821,94,1.352,1.607,24,0.7275,0.8614,12,-0.05122,0.7189,-0.4232,-1.851,0.5,-0.3822,-2.007,0.27,0.2184,-1.503,0.58,-0.5197,-1.386,0.1883,0.5019,-7.819,0.07
30,1.841,1.684,53,-0.7975,0.318767198,19,1.422,1.932,96,1.352,1.498,22,0.7348,0.6663,12,-0.04347,0.6465,-0.5365,-1.837,0.5,-0.3993,-0.8891,0.27,0.4952,-1.44,0.58,-0.5032,-1.443,0.1854,0.5077,-8.194,0.07
30,1.763,1.452,57,0.2091,0.288936704,19,1.508,1.653,97,1.352,1.501,17,0.7348,0.9871,14,-0.0321,0.7026,-0.5128,-1.98,0.5,-0.3928,-1.03,0.27,0.1789,-1.162,0.58,-0.4813,-1.421,0.1828,0.5003,-8.555,0.07
31,1.739,1.102,52,0.1028,0.288936704,18,1.427,1.616,91,1.352,1.221,23,0.6452,0.7946,19,-0.0321,0.6843,-0.5128,-1.98,0.5,-0.3909,-0.9755,0.27,0.1789,-1.162,0.58,-0.5207,-1.265,0.1829,0.5251,-9.003,0.07
35,1.786,1.235,55,0.1028,0.288936704,21,1.281,1.885,93,1.352,1.289,25,0.6452,0.766,16,-0.0321,0.7499,-0.5128,-1.98,0.5,-0.4597,-1.007,0.27,0.1514,-1.12,0.58,-0.5351,-1.02,0.1843,0.532,-8.889,0.07
28,1.775,0.925,55,0.1028,0.37967271,21,1.292,1.942,94,1.323,1.395,23,0.6452,0.8493,12,-0.009825,0.564,-0.5128,-1.98,0.5,-0.4774,-0.9258,0.27,0.1953,-1.196,0.58,-0.5351,-1.02,0.1843,0.532,-8.889,0.07
38,1.751,0.9882,49,0.1028,0.37967271,18,1.353,1.758,92,1.323,1.338,29,0.6244,0.6441,11,0.01561,0.5909,-0.02236,-2.526,0.5,-0.4854,-0.9375,0.27,0.186,-1.162,0.58,-0.5351,-1.02,0.1843,0.5336,-9.473,0.07
34,1.754,1.073,58,0.1028,0.37967271,20,1.307,1.941,93,1.323,1.742,24,0.6244,0.8856,13,0.01561,0.6057,-0.08809,-2.758,0.5,-0.4854,-0.9375,0.27,0.186,-1.162,0.58,-0.5351,-1.02,0.1843,0.5336,-9.473,0.07
38,1.81,1.071,66,0.1028,0.37967271,18,1.273,1.965,91,1.323,1.527,21,0.5438,1.036,18,0.162,0.5824,-0.08809,-2.758,0.5,-0.4624,-0.8759,0.27,0.186,-1.162,0.58,-0.5351,-1.02,0.1843,0.5336,-9.473,0.07
35,1.871,1.224,71,-0.1172,0.243843811,18,1.273,1.319,94,1.323,1.224,19,0.4934,0.872,12,0.1308,0.5516,-0.1914,-1.978,0.5,-0.4534,-0.8503,0.27,0.1813,-1.156,0.58,-0.5494,-0.8558,0.1825,0.5226,-10.04,0.07
35,1.824,1.253,74,-0.1172,0.196160582,21,1.271,1.442,95,1.323,1.153,20,0.5598,0.796,16,0.1308,0.5983,-0.2032,-2.044,0.5,-0.4386,-1.135,0.27,0.1398,-1.173,0.58,-0.5494,-0.8558,0.1825,0.5176,-10.01,0.07
34,1.837,1.394,77,-0.1172,0.516462651,20,1.122,1.321,92,1.35,1.174,25,0.5598,0.8219,8,0.06309,0.6343,-0.02348,-0.9879,0.5,-0.5103,-1.394,0.27,0.2553,-1.374,0.58,-0.09055,-0.3343,0.1804,0.5252,-10.04,0.07
33,1.837,1.655,82,-0.1172,0.098161041,18,1.178,1.137,90,1.31,1.347,23,0.5598,0.7148,9,0.1834,0.7315,-0.02348,-0.9879,0.5,-0.5103,-1.394,0.27,0.2553,-1.374,0.58,-0.09055,-0.3343,0.1804,0.5252,-10.04,0.07
34,1.918,1.474,74,-0.1291,0.079671576,17,1.056,1.537,89,1.31,1.55,18,0.6038,0.743,8,0.1834,0.5787,0.03147,-0.9507,0.5,-0.4974,-1.223,0.27,0.3169,-1.311,0.58,-0.09055,-0.3343,0.1804,0.5332,-10.04,0.07
36,1.918,1.645,65,-0.1291,0.287918206,17,1.056,1.562,87,1.312,1.232,22,0.5837,0.7786,10,0.2133,0.6297,0.03147,-0.9507,0.5,-0.4974,-1.223,0.27,0.3121,-1.242,0.58,-0.06452,-0.4496,0.1826,0.5332,-10.04,0.07
35,1.944,1.424,67,-0.1291,0.154556492,22,1.032,1.507,91,1.312,1.058,21,0.5005,0.7921,9,0.2247,0.6258,0.07008,-1.033,0.5,-0.5185,-1.065,0.27,0.3097,-1.28,0.58,-0.05146,-0.6636,0.1825,0.5337,-10.07,0.07
34,1.944,1.348,80,-0.1291,0.158073371,20,0.995,1.405,91,1.307,1.422,21,0.5951,0.7799,9,0.1182,0.5403,0.02013,-1.43,0.5,-0.5185,-1.065,0.27,0.2666,-1.279,0.58,-0.06945,-0.7392,0.1812,0.5429,-10.54,0.07
35,1.944,1.364,66,-0.1291,0.191558381,18,0.995,1.434,92,1.266,1.473,18,0.5951,0.7513,11,0.1358,0.6987,-0.008457,-1.322,0.5,-0.5185,-1.065,0.27,0.2318,-1.243,0.58,-0.06945,-0.7392,0.1812,0.5498,-10.8,0.07
37,2.033,1.228,73,-0.1291,0.344907529,20,0.8693,1.461,91,1.266,1.666,17,0.631,0.7159,11,0.03073,0.6297,0.02659,-1.16,0.5,-0.4904,-1.196,0.27,0.2318,-1.243,0.58,-0.1089,-0.7913,0.1815,0.5498,-10.8,0.07
35,1.976,1.151,83,-0.1291,0.257499016,20,0.7935,1.041,92,1.266,1.403,16,0.631,0.8502,11,0.08491,0.7083,0.02659,-1.16,0.5,-0.4904,-1.196,0.27,0.2902,-1.238,0.58,-0.06351,-0.7643,0.1873,0.5599,-11.07,0.07
32,1.979,1.17,75,-0.1291,0.343369441,21,0.8772,1.088,89,1.29,1.253,22,0.631,0.7777,13,0.004329,0.5925,-0.1832,-2.483,0.5,-0.4904,-1.196,0.27,0.2902,-1.238,0.58,-0.07394,-0.7875,0.1876,0.5599,-11.07,0.07
38,1.943,1.192,70,-0.1291,0.231024465,24,0.8453,0.8405,91,1.29,1.189,22,0.6641,0.7745,13,-0.01642,0.5335,-0.2468,-2.466,0.5,-0.4708,-0.965,0.27,0.3665,-1.532,0.58,-0.04034,-0.9175,0.1925,0.5599,-11.07,0.07
44,1.943,1.177,73,0.5181,0.188473102,22,0.8453,0.8607,88,1.29,1.548,19,0.6413,0.8993,11,-0.06559,0.7525,0.08059,-2.501,0.5,-0.4708,-0.965,0.27,0.3556,-1.489,0.58,-0.02609,-0.9477,0.1955,0.5527,-10.63,0.07
38,1.987,1.281,73,0.5181,0.154840703,26,0.7529,1.675,87,1.29,1.33,23,0.6361,0.6256,15,-0.07338,0.6994,0.08059,-2.501,0.5,-0.4809,-1.037,0.27,0.3357,-1.499,0.58,-0.1113,-1.153,0.1937,0.5383,-10.19,0.07
45,1.94,1.122,74,0.7517,0.348879593,21,1.025,1.007,86,1.29,1.359,20,0.6893,0.5999,15,0.02607,0.7958,0.07592,-2.162,0.5,-0.4924,-1.05,0.27,0.3349,-1.624,0.58,-0.1561,-1.203,0.1886,0.5209,-10.3,0.07
40,1.94,1.265,83,0.7517,0.151342982,19,1.061,0.8127,90,1.318,1.162,24,0.6215,0.9549,17,0.03671,0.6432,0.01264,-2.136,0.5,-0.5184,-1.138,0.27,0.193,-1.51,0.58,-0.4201,-1.45,0.1959,0.5109,-10.62,0.07
43,1.945,1.135,84,0.7517,0.304357971,21,0.8372,1.174,89,1.32,1.464,18,0.6607,1.05,14,0.013,0.7656,0.01264,-2.136,0.5,-0.5165,-1.008,0.27,0.4832,-1.259,0.58,-0.4681,-1.517,0.1894,0.5387,-10.8,0.07
41,2.003,1.051,82,0.2622,0.304357971,21,0.834,1.19,95,1.32,1.116,21,0.529,0.8311,17,0.01931,0.7718,0.03926,-2.175,0.5,-0.4927,-1.109,0.27,0.4076,-1.192,0.58,-0.4681,-1.517,0.1894,0.5335,-10.96,0.07
38,1.975,1.081,103,0.2622,0.11730081,18,0.9433,1.184,90,1.286,1.244,24,0.529,0.7779,16,-0.04219,0.5353,0.03926,-2.175,0.5,-0.5214,-1.22,0.27,0.3935,-1.139,0.58,-0.493,-1.286,0.191,0.5229,-9.022,0.07
41,1.981,1.063,106,0.2622,0.11730081,24,0.9698,1.135,91,1.315,1.097,17,0.529,0.8073,17,-0.04219,0.7284,0.02478,-2.29,0.5,-0.5214,-1.22,0.27,0.4173,-1.172,0.58,0.2014,-2.429,0.1894,0.5229,-9.022,0.07
42,1.981,1.248,95,0.2622,0.11730081,21,0.8898,1.17,93,1.296,1.686,16,0.529,0.7426,16,-0.05329,0.5699,0.02478,-2.29,0.5,-0.4994,-1.067,0.27,0.4173,-1.172,0.58,0.2014,-2.429,0.1894,0.5229,-9.022,0.07
43,1.871,1.219,85,0.2622,0.11730081,23,1.04,1.874,91,1.296,1.492,23,0.5121,0.6442,14,-0.08306,0.5273,0.01277,-2.505,0.5,-0.5203,-0.7924,0.27,0.39,-1.072,0.58,0.2814,-2.619,0.1897,0.5405,-8.141,0.07
42,1.872,1.039,76,0.9596,0.164261296,22,1.04,1.439,94,1.296,1.212,21,0.527,0.6618,17,-0.07379,0.5365,-0.3324,-2.032,0.5,-0.5211,-0.8078,0.27,0.3956,-1.153,0.58,0.2814,-2.619,0.1897,0.5254,-8.37,0.07
41,1.734,1.056,64,0.9596,0.164261296,21,0.9646,1.19,91,1.296,1.087,18,0.527,0.6786,10,0.2201,0.6303,-0.3453,-1.748,0.5,-0.4978,-0.8146,0.27,0.4342,-1.088,0.58,0.208,-2.456,0.1929,0.5392,-8.746,0.07
40,1.734,1.04,72,0.8479,0.164261296,19,1.047,1.39,94,1.255,1.114,21,0.4532,0.6926,10,0.2201,0.5915,-0.4335,-1.427,0.5,-0.4978,-0.8146,0.27,0.4342,-1.088,0.58,0.3382,-2.698,0.196,0.5392,-8.746,0.07
41,1.785,1.169,65,0.8479,0.487257317,19,0.9247,1.508,95,1.272,1.265,20,0.4573,0.6423,11,0.2893,0.7053,-0.4335,-1.427,0.5,-0.4978,-0.8146,0.27,0.4638,-1.015,0.58,0.3698,-2.71,0.1967,0.5392,-8.746,0.07
41,1.75,0.9879,59,0.8479,0.487257317,22,0.9938,1.164,99,1.277,1.146,19,0.4573,0.7347,11,0.3067,0.6257,-0.3807,-1.427,0.5,-0.4978,-0.8146,0.27,0.444,-1.242,0.58,0.3476,-2.698,0.2017,0.5571,-8.997,0.07
36,1.75,1.41,58,0.8479,0.487257317,19,1.276,0.9691,98,1.277,1.154,26,0.4344,0.8808,12,0.2235,0.7441,-0.3377,-1.39,0.5,-0.4369,-0.6605,0.27,0.3825,-1.235,0.58,0.3841,-2.718,0.2043,0.5522,-9.092,0.07
45,1.689,1.339,59,0.8479,0.33040454,24,1.24,1.56,98,1.277,1.268,25,0.4344,0.6569,11,0.187,0.6957,-0.3377,-1.39,0.5,-0.4323,-0.8231,0.27,0.4234,-1.222,0.58,0.3197,-2.574,0.2032,0.5423,-9.008,0.07
42,1.719,1.088,67,0.8479,0.176565597,24,1.176,1.467,95,1.277,1.367,28,0.4344,0.7183,10,0.187,0.7539,-0.3842,-1.333,0.5,-0.4736,-0.8486,0.27,0.4234,-1.222,0.58,0.3197,-2.574,0.2032,0.5423,-9.008,0.07
40,1.719,1.448,84,0.8479,0.523363586,22,1.159,1.75,96,1.268,1.306,23,0.4344,0.8297,13,0.187,0.6699,-0.3842,-1.333,0.5,-0.4626,-0.6861,0.27,0.4234,-1.222,0.58,0.3313,-2.456,0.2009,0.5245,-8.769,0.07
37,1.657,1.215,85,0.03886,0.07637816,22,1.045,1.465,94,1.268,1.358,28,0.4344,0.8685,16,0.01224,0.6277,-0.2933,-1.522,0.5,-0.4626,-0.6861,0.27,0.3689,-1.171,0.58,0.3799,-2.46,0.1992,0.5772,-8.729,0.07
39,1.571,1.072,78,0.03886,0.07637816,20,1.189,1.717,99,1.268,1.439,21,0.41,0.6579,17,-0.1336,0.6009,-0.524,-0.9094,0.5,-0.4626,-0.6861,0.27,0.3977,-1.157,0.58,0.412,-2.618,0.1991,0.5837,-8.384,0.07
34,1.504,1.178,84,0.03886,0.07637816,18,1.189,1.12,100,1.239,1.266,24,0.41,0.7469,17,-0.2065,0.5678,-0.524,-0.9094,0.5,-0.4809,-0.6717,0.27,0.4278,-1.303,0.58,0.4228,-2.61,0.1953,0.5684,-8.848,0.07
35,1.521,1.105,73,0.03886,0.281486465,24,1.189,1.357,96,1.239,1.228,23,0.465,0.8462,15,-0.2382,0.4357,-0.5011,-0.8189,0.5,-0.4317,0.106,0.27,0.4389,-1.317,0.58,0.5069,-2.651,0.1912,0.5669,-8.718,0.07
35,1.439,1.047,76,-0.4711,0.406946512,19,1.228,1.34,94,1.239,1.249,21,0.465,0.9453,15,-0.2469,0.6058,-0.3152,-1.976,0.5,-0.3814,-1.144,0.27,0.4389,-1.317,0.58,0.5357,-2.708,0.1975,0.5547,-8.076,0.07
35,1.457,1.208,66,0.2255,0.476870898,19,1.429,1.574,92,1.235,1.144,17,0.4275,1.151,13,-0.2469,0.5535,-0.3758,-1.936,0.5,-0.3452,-0.8766,0.27,0.5323,-1.328,0.58,0.5357,-2.708,0.1975,0.5547,-8.076,0.07
34,1.457,1.32,66,0.7729,0.488476152,17,1.429,1.734,95,1.294,1.293,20,0.4416,1.084,16,-0.2103,0.512,-0.3758,-1.936,0.5,-0.3452,-0.8766,0.27,0.5688,-1.281,0.58,0.5222,-2.769,0.199,0.5547,-8.076,0.07
42,1.457,1.381,73,0.7931,0.488476152,20,1.101,1.679,99,1.294,1.098,25,0.4416,0.9506,17,-0.2387,0.6014,-0.4111,-1.772,0.5,-0.3622,-0.9008,0.27,0.5369,-1.251,0.58,0.4634,-2.571,0.2013,0.5515,-8.479,0.07
36,1.457,1.403,70,0.5446,0.488476152,19,0.9977,1.429,94,1.248,1.312,22,0.4416,0.7407,16,-0.1791,0.5863,-0.3032,-1.899,0.5,-0.3622,-0.9008,0.27,0.5234,-1.24,0.58,0.3223,-2.288,0.1948,0.5515,-8.479,0.07
43,1.522,1.376,62,0.5446,0.488476152,16,1.29,1.276,94,1.239,1.18,20,0.4056,0.892,14,-0.1907,0.6564,-0.3251,-1.88,0.5,-0.3671,-0.6354,0.27,0.569,-1.357,0.58,0.3319,-2.28,0.1899,0.5344,-8.1,0.07
39,1.451,1.248,57,0.5446,0.476910851,16,1.439,0.9191,95,1.202,1.373,22,0.4188,0.8224,18,-0.1548,0.8002,-0.3251,-1.88,0.5,-0.3671,-0.6354,0.27,0.5879,-1.451,0.58,0.3302,-2.403,0.1841,0.5344,-8.1,0.07
40,1.437,1.108,52,0.7802,0.271834798,17,1.497,0.9697,94,1.202,1.288,26,0.4768,1.033,17,-0.1026,0.6035,-0.3732,-2.193,0.5,-0.3671,-0.6354,0.27,0.5879,-1.451,0.58,0.3423,-2.402,0.1876,0.5344,-8.1,0.07
35,1.434,0.9134,45,0.7802,0.345294122,17,1.587,1.279,94,1.202,1.331,23,0.4765,0.8705,19,-0.1141,0.5795,-0.3732,-2.193,0.5,-0.3671,-0.6354,0.27,0.5628,-1.496,0.58,0.3423,-2.402,0.1876,0.5344,-8.1,0.07
37,1.434,0.9642,59,0.7818,0.345294122,17,1.51,1.252,95,1.202,1.366,26,0.5006,0.7764,17,-0.1132,0.6896,0.1146,-1.761,0.5,-0.3183,-0.6079,0.27,0.5412,-1.582,0.58,0.4247,-2.418,0.1849,0.5497,-7.67,0.07
41,1.434,1.209,58,0.7818,0.187762032,16,1.646,1.215,96,1.202,1.383,28,0.5006,0.8432,16,-0.1278,0.7407,0.1558,-1.87,0.5,-0.2865,-0.4566,0.27,0.5377,-1.623,0.58,0.4445,-2.473,0.1895,0.5752,-7.81,0.07
42,1.431,0.9194,62,0.7818,0.194654354,18,1.658,1.25,103,1.265,1.483,27,0.488,0.8272,13,-0.1278,0.7195,0.2693,-1.81,0.5,-0.2865,-0.4566,0.27,0.471,-1.97,0.58,0.492,-2.586,0.1887,0.5752,-7.81,0.07
41,1.431,0.9147,70,0.7818,0.415952572,21,1.752,1.253,103,1.276,1.375,27,0.488,0.7994,13,-0.1834,0.5362,-0.1883,-1.226,0.5,-0.2821,-0.3954,0.27,0.5392,-2.056,0.58,0.492,-2.586,0.1887,0.5752,-7.81,0.07
38,1.431,0.9346,74,0.7818,0.415952572,21,1.696,1.41,103,1.258,1.212,27,0.488,0.8107,13,-0.1355,0.6685,-0.2415,-1.245,0.5,-0.2454,-0.2348,0.27,0.5266,-2.001,0.58,0.492,-2.586,0.1887,0.5748,-7.936,0.07
38,1.39,1.419,62,0.7818,0.250578058,18,1.677,1.721,102,1.26,1.217,26,0.5284,0.6836,11,-0.1658,0.6021,-0.2776,-1.625,0.5,-0.2515,-0.4011,0.27,0.5266,-2.001,0.58,0.5106,-2.351,0.1808,0.5676,-8.627,0.07
34,1.39,1.26,58,0.7818,0.072862633,18,1.566,1.744,93,1.252,1.329,24,0.5284,0.7584,13,-0.1628,0.4552,-0.2769,-1.679,0.5,-0.2576,-0.4898,0.27,0.5266,-2.001,0.58,0.5106,-2.351,0.1808,0.5676,-8.627,0.07
43,1.39,1.063,64,0.7818,0.222064368,18,1.385,1.753,95,1.252,1.367,30,0.4807,0.7804,12,-0.06923,0.6511,-0.2525,-1.87,0.5,-0.1904,-0.611,0.27,0.6585,-2.072,0.58,0.4999,-2.293,0.1813,0.583,-8.353,0.07
38,1.39,0.9659,73,-0.134,0.302947691,19,1.498,1.469,96,1.252,1.317,25,0.502,0.6845,13,-0.03062,0.6298,-0.1859,-1.982,0.5,-0.2125,-0.4737,0.27,0.5914,-1.987,0.58,0.4999,-2.293,0.1813,0.558,-8.576,0.07
40,1.383,0.9752,69,-0.134,0.823547511,18,1.429,1.873,95,1.235,1.446,33,0.502,0.7736,12,-0.05413,0.5887,-0.05469,-2.15,0.5,-0.2309,-0.3869,0.27,0.5914,-1.987,0.58,0.4868,-2.22,0.1801,0.558,-8.576,0.07
42,1.383,0.915,63,-0.134,0.823547511,18,1.412,1.808,98,1.235,1.431,28,0.5177,0.8449,13,-0.05413,0.6441,-0.1753,-2.185,0.5,-0.2291,-0.3242,0.27,0.5761,-2.043,0.58,0.4758,-2.236,0.1801,0.544,-8.244,0.07
34,1.383,0.8224,58,-0.134,0.798877971,18,1.545,1.904,99,1.235,1.167,31,0.5177,0.8369,12,0.04036,0.6242,-0.2098,-2.157,0.5,-0.2515,-0.141,0.27,0.64,-1.991,0.58,0.5409,-2.147,0.1875,0.5593,-8.337,0.07
41,1.391,1.242,51,-0.04848,0.798877971,18,1.38,1.325,97,1.235,1.525,26,0.5325,0.6391,12,0.04036,0.5441,-0.1026,-2.289,0.5,-0.2515,-0.141,0.27,0.64,-1.991,0.58,0.09174,-3.019,0.1904,0.5685,-8.766,0.07
