Kapiti_F,Kapiti_D,Kapiti_S,Maunga_F,Maunga_D,Maunga_S,Rotok_F,Rotok_D,Rotok_S,Tiri_F,Tiri_D,Tiri_S,Karori_F,Karori_D,Karori_S,Bushy_F,Bushy_D,Bushy_S,Bushy_a,Bushy_b,Bushy_T,Karori_a,Karori_b,Karori_T,Maunga_a,Maunga_b,Maunga_T,Rotok_a,Rotok_b,Rotok_T,Tiri_a,Tiri_b,Tiri_T
42,1.47,1.234,34,-0.4521,0.872188804,20,1.269,1.443,86,1.057,1.369,30,0.5868,0.7576,20,0.07946,0.843,-0.3142,-2.716,0.5,-0.4946,-1.708,0.27,0.3166,-1.879,0.58,-0.4773,-1.833,0.2016,0.5322,-13.29,0.07
46,1.47,1.275,42,0.3133,0.800466441,21,1.269,1.745,86,0.9428,1.294,31,0.6152,0.8034,17,0.1606,0.6798,-0.3142,-2.716,0.5,-0.4946,-1.708,0.27,0.3166,-1.879,0.58,-0.5316,-1.86,0.1999,0.5322,-13.29,0.07
46,1.509,1.18,43,0.3133,0.800466441,28,1.165,1.973,87,0.9975,1.134,25,0.6152,1.051,15,0.1606,0.6949,-0.3071,-2.789,0.5,-0.5627,-1.441,0.27,0.3825,-1.871,0.58,-0.5445,-1.771,0.2012,0.5454,-12.96,0.07
47,1.509,1.208,36,0.3133,0.800466441,21,1.392,1.398,88,0.9975,1.328,28,0.6152,1.08,14,-0.00464,0.7081,-0.3572,-2.414,0.5,-0.4658,-1.506,0.27,0.3291,-1.849,0.58,-0.3603,-2.17,0.2253,0.5342,-12.59,0.07
40,1.478,1.269,44,0.3133,0.947473688,21,1.313,1.908,87,0.9975,1.263,25,0.5943,0.8063,16,0.02455,0.7057,-0.3572,-2.414,0.5,-0.4658,-1.506,0.27,0.3013,-1.873,0.58,-0.3387,-2.481,0.2244,0.5342,-12.59,0.07
38,1.478,1.514,53,0.3133,0.947473688,21,1.28,1.932,89,0.9975,1.028,23,0.5943,0.8702,16,0.02455,0.7893,-0.3972,-2.207,0.5,-0.4316,-1.531,0.27,0.2552,-1.907,0.58,-0.09758,-2.732,0.2267,0.5387,-12.62,0.07
41,1.365,1.212,45,0.6464,0.947473688,23,1.115,1.973,91,0.9975,0.9938,26,0.5943,0.9473,17,0.03919,0.6431,-0.7076,-1.935,0.5,-0.4389,-1.669,0.27,0.2632,-1.905,0.58,0.5205,-2.731,0.2047,0.5396,-12.57,0.07
45,1.365,0.8818,39,0.6464,0.597218221,20,1.209,1.742,93,0.9975,1.061,24,0.5943,0.9295,17,-0.1302,0.5807,-0.7076,-1.935,0.5,-0.4129,-1.498,0.27,0.2157,-1.875,0.58,0.3368,-1.561,0.1968,0.534,-12.43,0.07
43,1.365,1.328,39,0.5524,0.756817219,25,1.209,1.942,96,0.9967,0.9228,26,0.5907,0.7917,17,-0.1197,0.6951,-0.6749,-2.033,0.5,-0.3949,-1.246,0.27,0.1814,-1.517,0.58,0.3113,-1.622,0.204,0.534,-12.43,0.07
44,1.365,0.9294,39,0.7272,0.480400614,24,1.209,1.674,93,0.9967,1.119,26,0.591,0.7474,16,-0.1197,0.6724,-0.6749,-2.033,0.5,-0.4393,-1.37,0.27,0.1707,-1.44,0.58,0.2941,-1.572,0.2067,0.5344,-11.93,0.07
46,1.365,1.058,36,-0.03121,0.480400614,20,1.269,1.788,97,1.015,1.157,26,0.6377,0.8899,15,-0.1749,0.7297,-0.2364,-3.391,0.5,-0.4046,-1.491,0.27,0.1707,-1.44,0.58,0.3216,-1.439,0.2077,0.5482,-12.18,0.07
38,1.308,1.345,36,-0.03121,0.347382014,23,1.408,1.886,98,1.015,1.211,26,0.6469,0.8757,16,0.09681,0.6978,-0.2364,-3.391,0.5,-0.4278,-1.43,0.27,0.1937,-1.338,0.58,0.3415,-1.419,0.2108,0.5509,-12.13,0.07
